OTU,FConL1,FConL2,FConL3,FFAL1,FFAL2,FFAL3,FHAL1,FHAL2,FHAL3,VConL1,VConL2,VConL3,VFAL1,VFAL2,VFAL3,VHAL1,VHAL2,VHAL3
OTU1211,31,98,26,231,84,0,8,20,33,47,0,34,32,3,120,0,3,2
OTU1212,0,5,2,28,100,0,27,422,11,0,0,0,0,0,0,0,0,0
OTU1213,0,2,0,0,0,0,0,0,1,0,0,0,0,5,0,0,0,0
OTU1214,0,0,0,0,0,0,0,0,0,5,0,0,10,0,5,0,0,0
OTU1216,7,0,0,0,16,0,0,0,0,0,0,0,0,1,0,0,0,0
OTU1217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU1218,0,4,7,0,0,0,9,2,11,44,0,0,76,1,48,17,0,0
OTU1219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU1220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
OTU1225,0,0,0,0,0,0,0,0,0,2,0,0,6,0,0,0,0,0
OTU1227,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0
OTU1228,0,0,0,0,0,0,2,0,2,0,0,0,0,0,4,0,0,0
OTU1229,5,11,18,0,0,0,6,4,7,0,0,8,0,7,3,3,2,1
OTU1231,0,4,5,0,0,0,24,7,21,15,0,5,20,0,9,0,0,0
OTU1232,0,0,0,0,0,0,2,0,6,0,0,0,0,0,0,0,0,0
OTU1233,0,0,0,0,0,0,4,0,0,0,0,0,5,0,1,0,0,0
OTU1234,25,20,4,56,100,0,3,5,0,0,0,15,0,0,0,0,0,0
OTU1235,0,0,0,0,0,0,0,0,0,2,22,0,0,0,0,0,0,0
OTU1236,0,12,0,1,5,2,5,0,1,0,1,0,0,1,0,4,3,0
OTU1237,0,9,0,0,14,0,0,0,0,1,0,0,0,0,1,0,0,0
OTU1238,0,0,0,0,0,0,0,3,10,0,0,0,0,0,0,0,0,0
OTU124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU1242,0,0,0,2,0,2,1,1,5,0,0,0,0,0,0,0,0,0
OTU125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU1250,0,9,0,0,0,0,0,0,4,7,0,11,0,0,0,0,0,0
OTU1253,0,0,0,0,0,0,0,0,0,2,0,0,9,0,0,0,0,0
OTU1255,0,0,0,0,0,0,9,0,0,130,0,0,124,0,0,0,0,0
OTU126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU1262,0,0,0,0,0,0,0,0,0,1,0,0,3,0,1,0,0,0
OTU1264,0,0,0,0,0,0,3,0,6,7,0,2,18,0,4,0,0,0
OTU1267,1,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0
OTU127,0,0,5,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0
OTU1273,0,0,0,0,0,0,0,0,0,317,0,0,408,0,2,0,0,0
OTU1276,1,0,0,0,0,0,0,0,0,7,0,0,11,0,1,0,0,0
OTU1279,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0
OTU128,0,0,0,0,0,0,4,0,13,0,0,0,1,0,17,0,0,0
OTU1281,0,0,0,0,0,0,0,0,0,2,0,0,10,0,0,0,0,0
OTU1283,0,0,0,0,0,0,0,0,0,2,0,0,5,0,2,0,0,0
OTU1286,0,0,0,0,0,0,0,0,1,332,0,0,267,0,0,0,0,0
OTU1289,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0
OTU129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU1290,0,0,8,0,0,2,0,0,4,476,0,0,474,0,3,13,0,0
OTU1294,0,0,0,0,0,0,0,0,0,21,0,0,29,0,0,0,0,0
OTU1296,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0
OTU1299,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0
OTU130,0,9,0,0,0,0,0,0,1,0,0,0,0,1,13,0,0,0
OTU1300,0,0,0,0,0,0,0,0,0,6,0,0,9,0,0,0,0,0
OTU1305,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0
OTU1308,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
OTU131,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0
OTU1321,0,0,0,0,0,0,0,0,0,10,0,0,12,0,2,0,0,0
OTU1325,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0
OTU1326,0,12,0,0,0,0,6,0,2,14,0,0,18,2,4,0,0,0
OTU133,0,0,2,0,0,0,12,0,10,0,0,25,0,2,20,0,0,0
OTU1330,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0
OTU1335,4,0,5,0,0,0,10,6,0,10,0,0,0,0,1,0,0,0
OTU1340,0,0,0,0,0,0,0,0,0,80,0,0,81,0,0,0,0,0
OTU1344,0,0,0,0,16,0,0,0,0,5,0,0,13,0,0,0,0,0
OTU135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
OTU1353,0,0,6,0,0,0,0,0,0,8,0,0,17,0,0,0,0,0
OTU136,0,0,0,0,0,0,10,13,25,0,0,0,0,0,0,0,0,0
OTU1363,0,0,0,0,0,0,0,0,0,18,0,0,11,0,0,0,0,0
OTU1366,0,0,0,0,0,0,0,0,0,7,0,0,3,1,14,0,0,0
OTU1367,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
OTU1376,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0
OTU1378,0,0,0,0,0,0,0,0,0,7,0,0,3,0,1,0,0,0
OTU138,1,0,0,0,0,0,3,9,11,6,0,4,0,5,0,0,0,59
OTU1385,0,0,0,0,0,0,0,0,1,22,0,0,23,0,0,0,0,0
OTU139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU1393,0,0,0,0,0,0,0,0,0,8,0,0,13,0,0,0,0,0
OTU1402,0,0,0,0,12,0,0,0,0,2,0,0,1,0,0,20,0,0
OTU141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU1412,0,0,0,0,0,0,0,0,0,2,0,0,3,0,3,0,0,0
OTU1416,0,0,0,0,0,0,0,0,0,3,0,0,8,0,0,0,0,0
OTU1424,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
OTU1427,0,0,0,0,0,0,0,0,0,18,0,0,13,0,0,0,0,0
OTU1429,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0,0,0,0
OTU1434,0,0,0,0,0,0,0,0,0,4,0,0,5,0,0,0,0,0
OTU1436,0,0,0,0,0,0,0,0,0,5,0,0,2,0,2,0,0,0
OTU1439,0,0,0,0,0,0,0,0,0,2,0,0,4,0,0,0,0,0
OTU144,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU1446,0,0,0,0,0,0,0,0,0,3,0,0,8,0,1,0,0,0
OTU1458,0,0,0,0,0,0,0,0,0,64,0,0,164,0,0,0,0,0
OTU146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
OTU1460,0,0,0,0,0,0,0,0,0,17,0,0,17,0,0,0,0,0
